"日期","最新","开盘","高","低","百分比变化"
"2016年2月20日","438.70","419.77","445.02","419.72","4.45"
"2016年2月19日","419.99","421.50","422.54","412.00","-0.36"
"2016年2月18日","421.50","414.88","426.01","413.08","1.60"
"2016年2月17日","414.86","407.27","421.74","405.32","1.86"
"2016年2月16日","407.27","399.90","408.76","398.66","1.84"
"2016年2月15日","399.90","408.30","412.50","395.35","-2.06"
"2016年2月14日","408.30","392.99","408.66","392.97","3.90"
"2016年2月13日","392.99","382.94","393.00","382.56","2.61"
"2016年2月12日","382.98","377.99","383.53","377.09","1.32"
"2016年2月11日","378.00","380.90","383.00","372.25","-0.76"
"2016年2月10日","380.89","374.31","386.52","373.13","1.85"
"2016年2月9日","373.97","370.49","377.60","370.28","0.94"
"2016年2月8日","370.49","372.01","376.74","369.10","-0.41"
"2016年2月7日","372.01","373.71","377.78","369.20","-0.47"
"2016年2月6日","373.75","386.54","386.54","366.44","-3.31"
"2016年2月5日","386.54","389.80","392.57","384.50","-0.84"
"2016年2月4日","389.80","368.98","393.89","368.65","5.64"
"2016年2月3日","368.98","372.90","373.97","366.00","-1.05"
"2016年2月2日","372.90","371.42","374.75","369.90","0.40"
"2016年2月1日","371.42","365.52","378.96","363.26","1.62"
"2016年1月31日","365.50","376.96","378.90","362.57","-3.04"
"2016年1月30日","376.96","377.62","380.50","374.00","-0.18"
"2016年1月29日","377.63","378.39","385.31","360.23","-0.20"
"2016年1月28日","378.39","394.70","395.48","375.61","-4.20"
"2016年1月27日","394.97","391.32","396.99","389.66","0.93"
"2016年1月26日","391.32","390.96","398.00","387.48","0.09"
"2016年1月25日","390.98","402.77","402.77","384.00","-2.93"
"2016年1月24日","402.77","385.57","407.02","385.10","4.46"
"2016年1月23日","385.57","380.96","394.00","379.85","1.21"
"2016年1月22日","380.96","411.00","411.19","371.33","-7.31"
"2016年1月21日","411.00","419.55","424.57","405.02","-2.01"
"2016年1月20日","419.41","378.93","427.98","375.01","10.67"
"2016年1月19日","378.96","387.04","388.35","377.44","-2.09"
"2016年1月18日","387.04","382.02","389.43","375.11","1.30"
"2016年1月17日","382.07","388.44","392.79","378.82","-1.63"
"2016年1月16日","388.42","359.02","392.40","353.21","8.24"
"2016年1月15日","358.85","429.25","429.43","358.00","-16.40"
"2016年1月14日","429.25","431.08","434.91","426.03","-0.42"
"2016年1月13日","431.08","432.04","436.36","416.37","-0.22"
"2016年1月12日","432.05","449.26","449.63","429.34","-3.83"
"2016年1月11日","449.26","449.35","452.47","443.59","-0.02"
"2016年1月10日","449.35","449.23","450.26","441.01","0.03"
"2016年1月9日","449.23","454.00","456.01","447.46","-1.05"
"2016年1月8日","454.00","458.78","465.00","446.75","-1.10"
"2016年1月7日","459.05","428.89","461.89","427.11","7.26"
"2016年1月6日","427.99","431.84","432.17","425.03","-0.89"
"2016年1月5日","431.84","432.90","434.91","428.22","-0.24"
"2016年1月4日","432.90","428.64","435.67","426.97","0.99"
"2016年1月3日","428.66","432.70","433.07","422.00","-0.93"
"2016年1月2日","432.70","433.98","435.79","430.00","-0.29"
"2016年1月1日","433.98","429.02","436.49","426.26","1.16"
"","","","","",""
"","最高:19,891.00","最低:0.00","差价:19,891.00","平均:2,262.24","百分比变化:3,237.14"
